,title,raiting,date,comments
0,Natron: Open-Source Alternative to Adobe After Effects,54 points,,5 comments
1,"Show HN: 3 years and 1M users later, I just open-sourced my ""Internet OS""",417 points,,114 comments
2,How I keep myself alive using Golang,207 points,,57 comments
3,Miles Davis and the recording of Kind of Blue,90 points,,41 comments
4,AWS acquires Talen's 960MW nuclear data center campus in Pennsylvania,83 points,,41 comments
5,The hunt for the missing data type,476 points,,182 comments
6,European crash tester says carmakers must bring back physical controls,178 points,,106 comments
7,Based: Simple linear attention language models,60 points,,7 comments
8,What Is WebTV?,55 points,,36 comments
9,Why it's so challenging to land upright on the moon,132 points,,213 comments
10,"Ubicloud: Open, Free, and Portable Cloud",8 points,,1 comment
11,CodeCrafters (YC S22) is hiring an influencer manager (interns welcome),O points,,hide
12,Claude 3 model family,855 points,,554 comments
13,Filament â€“ A Language for Fearless Hardware Design,23 points,,2 comments
14,The Rise and Fall of Adam Osborne,65 points,,33 comments
15,U.S. Air Force Evaluating Pivotal's Blackfly Ultralight EVTOL Aircraft,97 points,,45 comments
16,World Server Throwing Championship,124 points,,40 comments
17,Improving Network Performance with Linux Flowtables,116 points,,21 comments
18,Scientists put Jared Diamond's continental axis hypothesis to the test,74 points,,73 comments
19,Show HN: Astro App,236 points,,55 comments
20,Investigating immune response of a man who received 217 Covid vaccines,8 points,,1 comment
21,Launch HN: Just words (YC W24) â€“ Optimize your product's copy for user growth,63 points,,57 comments
22,What flying was like fifty years ago,75 points,,99 comments
23,Mustard,3 points,,1 comment
24,Opus 1.5 released: Opus gets a machine learning upgrade,297 points,,89 comments
25,Revy â€“ proof-of-concept time-travel debugger for the Bevy game engine,105 points,,32 comments
26,GTPDOOR â€“ A novel backdoor tailored for covert access over the roaming exchange,56 points,,11 comments
27,Deploying fiber in the home,99 points,,91 comments
28,Show HN: Workflow orchestrator in Golang,59 points,,12 comments
29,Tal is the programming language for the Uxn virtual machine (2021),63 points,,10 comments
