,nombre,precio,rating
0,Dragon Ball Z Kakarot Xbox One Series X / Juego Fisico,$599,Más relevantes
1,Juego Vampyr para Xbox One | Medios físicos | Microsoft Dontnod Focus,$36,Calificación 5 de 5. 2 opiniones.
2,Grand Theft Auto V  Standard Edition Rockstar Games Xbox One Físico,$699,"Calificación 4.8 de 5. 4,277 opiniones."
3,Juego Batman Arkham Asylum Xbox 360 Ibushak Gaming,$42,","
4,Hades Xbox Series,$429,","
5,Consola Xbox Series S 512gb Color Blanco,$25,"Calificación 4.8 de 5. 12,676 opiniones."
6,Red Dead Redemption 2  Standard Edition Rockstar Games Xbox One Físico,"$404,19","Calificación 4.9 de 5. 3,529 opiniones."
7,Naruto Shippuden: Ultimate Ninja Storm 4  Naruto Shippuden: Ultimate Ninja Storm Standard Edition Bandai Namco Xbox One Físico,$24,","
8,Kit Carga Y Juega Xbox Series Xs Batería Recargable Original,"$539,10",Calificación 4.8 de 5. 193 opiniones.
9,Kit Carga Y Juega Para Control Xbox 360 Bateria Recargable,$32,Calificación 4.9 de 5. 145 opiniones.
10,Control joystick inalámbrico Microsoft Xbox Xbox Elite wireless controller series 2 negro,"$5,399",","
11,Crash Bandicoot: N. Sane Trilogy  Standard Edition Activision Xbox One Físico,$300,"Calificación 4.7 de 5. 1,251 opiniones."
12,Consola Microsoft Xbox Series X 1tb Ssd 4k 120hz Disco Negro,$425,"Calificación 4.9 de 5. 1,333 opiniones."
13,Video Juego Xbox Minecraft Starter Collection,$25,"Calificación 4.8 de 5. 3,812 opiniones."
14,Gears 5  Standard Edition Xbox Game Studios Xbox One Físico,"$199,60",","
15,Resident Evil 5  Resident Evil Standard Edition Capcom PS4 Físico,$12,Calificación 4.8 de 5. 126 opiniones.
16,Consola Xbox Series X 1 TB Bundle Diablo IV Negro,$449,Calificación 4.8 de 5. 909 opiniones.
17,Jump Force  Xenoverse Standard Edition Bandai Namco Xbox One Físico,$27,","
18,Left 4 Dead Game Of The Year Edition Xbox 360/one,"$129,98",","
19,Control Power A Spectra Infinity Alámbrico para Xbox Series X|s Color Blanco,$7,Calificación 4.8 de 5. 142 opiniones.
20,Minecraft  Standard Edition Sony PS3 Físico,"$4,198",Calificación 4.8 de 5. 821 opiniones.
21,Consola Xbox Series X 1 TB Bundle Diablo IV Negro,$233,Calificación 4.8 de 5. 162 opiniones.
22,Ori: The Collection  Standard Edition Xbox Game Studios Nintendo Switch Físico,$750,Calificación 4.9 de 5. 11 opiniones.
23,Grand Theft Auto: San Andreas  Standard Edition Rockstar Games PS3 Físico,$45,","
24,Microsoft Xbox Series S 512GB Gilded Hunter Bundle color  blanco,"$8,899","Calificación 4.5 de 5. 1,368 opiniones."
25,The Witcher 3: Wild Hunt  Complete Edition CD Projekt Red Xbox One Físico,$494,"Calificación 4.9 de 5. 4,075 opiniones."
26,Dragon Ball Z Kakarot Xbox One Series X / Juego Fisico,"$728,19",Calificación 4.8 de 5. 362 opiniones.
27,Kit Bateria Cargador Cable Carga Y Juega 4800mha Xbox 360,$44,","
28,Red Dead Redemption 2 Xbox One Series X|S Digital,$468,","
29,"Nintendo Switch Oled 64gb Y Juegos Mariokart8, Mario Party Color Rojo",$28,Calificación 5 de 5. 26 opiniones.
30,Halo Infinite  SteelBook Edition Xbox Game Studios Xbox Series X|S Físico,"$404,31",Calificación 4.6 de 5. 197 opiniones.
31,Plants vs. Zombies: Garden Warfare  Garden Warfare Standard Edition Electronic Arts Xbox 360 Físico,$67,Calificación 4.8 de 5. 475 opiniones.
32,Consola Xbox Series X + Forza Horizon 5 Bundle Negro,"$9,999",Calificación 4.8 de 5. 451 opiniones.
33,Subnautica  Standard Edition Perfect World Xbox One Físico,$555,Calificación 5 de 5. 2 opiniones.
34,Paw Patrol: Mighty Pups Save Adventure Bay  Standard Edition Outright Games Xbox One Físico,$790,","
35,Battlefield 1 Revolution Para Xbox One : Bsg,$47,","
36,Consola Xbox Series X  ,$753,"Calificación 4.5 de 5. 1,158 opiniones."
37,Skate 3  Standard Edition Electronic Arts Xbox 360 Físico,$45,Calificación 5 de 5. 22 opiniones.
38,Control joystick inalámbrico Vimi GM-BT-360 Wireless controller negro,"$808,44",Calificación 4.9 de 5. 15 opiniones.
39,Kinect Sports  Kinect Sports Standard Edition Microsoft Xbox 360 Físico,$134,Calificación 4.8 de 5. 122 opiniones.
40,Watch Dogs 2  Standard Edition Ubisoft Xbox One Físico,$791,Calificación 4.5 de 5. 13 opiniones.
41,Auriculares Hyperx Cloudx Para Juegos Xbox Color Negro Color de la luz Sin Luz,$47,","
42,Resident Evil 6  Standard Edition Capcom Xbox 360 Físico,"$9,899",Calificación 4.8 de 5. 190 opiniones.
43,Dark Souls Trilogy  Standard Edition Bandai Namco Xbox One Físico,$549,Calificación 5 de 5. 41 opiniones.
44,South Park: The Stick of Truth  Standard Edition Xbox 360 Físico,"$727,58",Calificación 4.8 de 5. 63 opiniones.
45,Consola Xbox Microsoft Series X 1tb Standard Color  Negro,$121,","
46,Kit Carga Y Juega Para Control Xbox 360.,$561,Calificación 4.6 de 5. 10 opiniones.
47,Fifa 17 Para Xbox One,$33,"Calificación 4.9 de 5. 1,475 opiniones."
48,Microsoft Xbox Series X 1tb Negro,"$5,999",Calificación 4.9 de 5. 15 opiniones.
49,Lego Star Wars: La Saga Skywalker - Standard Edition - Xb1,$362,Calificación 4.3 de 5. 57 opiniones.
50,Left 4 Dead 2  Standard Edition Valve Xbox 360 Físico,$455,","
51,Consola Xbox Series X 1tb Ssd 4k 120 Fps Bundle Diablo Iv,$27,Calificación 4.9 de 5. 17 opiniones.
52,Human: Fall Flat  Anniversary Edition Meridiem Games Xbox One/Xbox Series X|S Físico,$599,Calificación 5 de 5. 29 opiniones.
53,Resident Evil 2 Remake  Standard Edition Capcom Xbox One Físico,$36,Calificación 4.8 de 5. 129 opiniones.
54,Kit Carga Y Juega Para Control Xbox 360 Cable Y Pila Mayoreo,"$125,91",","
